year,state,production_oz,
1976,Utah,187318,
1976,Vermont,NA,
1976,Virginia,NA,
1976,Washington,24500,
1976,Wyoming,NA,
1977,Alabama,NA,
1977,Alaska,50000,
1977,Arizona,90167,
1977,California,5704,
1977,Colorado,72668,
1977,Georgia,NA,
1977,Idaho,12,
1977,Maryland,NA,
1977,Michigan,22348,
1977,Montana,324003,
1977,Nevada,13560,
1977,New Mexico,NA,
1977,North Carolina,NA,
1977,Oregon,NA,
1977,South Dakota,304846,
1977,Tennessee,13,
1977,Texas,NA,
1977,Utah,210501,
1977,Vermont,NA,
1977,Virginia,NA,
1977,Washington,24006,
1977,Wyoming,NA,
1978,Alabama,NA,
1978,Alaska,60000,
1978,Arizona,92989,
1978,California,7480,
1978,Colorado,32094,
1978,Georgia,NA,
1978,Idaho,20,
1978,Maryland,NA,
1978,Michigan,19967,
1978,Montana,260895,
1978,Nevada,9879,
1978,New Mexico,NA,
1978,North Carolina,NA,
1978,Oregon,NA,
1978,South Dakota,285512,
1978,Tennessee,NA,
1978,Texas,NA,
1978,Utah,235929,
1978,Vermont,NA,
1978,Virginia,NA,
1978,Washington,20000,
1978,Wyoming,NA,
1979,Alabama,NA,
1979,Alaska,65000,
1979,Arizona,101840,
1979,California,5010,
1979,Colorado,13850,
1979,Georgia,NA,
1979,Idaho,24,
1979,Maryland,NA,
1979,Michigan,24050,
1979,Montana,250097,
1979,Nevada,22976,
1979,New Mexico,NA,
1979,North Carolina,NA,
1979,Oregon,NA,
1979,South Dakota,245912,
1979,Tennessee,NA,
1979,Texas,NA,
1979,Utah,260916,
1979,Vermont,NA,
1979,Virginia,NA,
1979,Washington,20000,
1979,Wyoming,NA,
1980,Alabama,NA,
1980,Alaska,75000,
1980,Arizona,79631,
1980,California,4078,
1980,Colorado,39447,
1980,Georgia,NA,
1980,Idaho,22,
1980,Maryland,NA,
1980,Michigan,48366,
1980,Montana,278495,
1980,Nevada,15847,
1980,New Mexico,NA,
1980,North Carolina,NA,
1980,Oregon,14268,
1980,South Dakota,267642,
1980,Tennessee,NA,
1980,Texas,NA,
1980,Utah,179538,
1980,Vermont,NA,
1980,Virginia,NA,
1980,Washington,40000,
1980,Wyoming,200,
1981,Alabama,NA,
1981,Alaska,134200,
1981,Arizona,100339,
1981,California,6271,
1981,Colorado,51069,
1981,Georgia,NA,
1981,Idaho,29,
1981,Maryland,NA,
1981,Michigan,54267,
1981,Montana,524802,
1981,Nevada,65749,
1981,New Mexico,NA,
1981,North Carolina,NA,
1981,Oregon,10405,
1981,South Dakota,278162,
1981,Tennessee,NA,
1981,Texas,NA,
1981,Utah,227706,
1981,Vermont,NA,
1981,Virginia,NA,
1981,Washington,40000,
1981,Wyoming,200,
1982,Alabama,NA,
1982,Alaska,175000,
1982,Arizona,61050,
1982,California,10547,
1982,Colorado,64584,
1982,Georgia,NA,
1982,Idaho,35,
1982,Maryland,NA,
1982,Michigan,75171,
1982,Montana,757099,
1982,Nevada,54000,
1982,New Mexico,NA,
1982,North Carolina,NA,
1982,Oregon,NA,
1982,South Dakota,185038,
1982,Tennessee,NA,
1982,Texas,NA,
1982,Utah,174940,
1982,Vermont,NA,
1982,Virginia,NA,
1982,Washington,60000,
1982,Wyoming,200,
1983,Alabama,NA,
1983,Alaska,169000,
1983,Arizona,61991,
1983,California,38443,
1983,Colorado,63063,
1983,Georgia,NA,
1983,Idaho,62,
1983,Maryland,NA,
1983,Michigan,161436,
1983,Montana,960657,
1983,Nevada,49297,
1983,New Mexico,NA,
1983,North Carolina,NA,
1983,Oregon,NA,
1983,South Dakota,309784,
1983,Tennessee,NA,
1983,Texas,NA,
1983,Utah,238459,
1983,Vermont,NA,
1983,Virginia,NA,
1983,Washington,80000,
1983,Wyoming,200,
1984,Alabama,NA,
1984,Alaska,175000,
1984,Arizona,54897,
1984,California,85858,
1984,Colorado,60010,
1984,Georgia,NA,
1984,Idaho,45,
1984,Maryland,NA,
1984,Michigan,181190,
1984,Montana,1020546,
1984,Nevada,57933,
1984,New Mexico,NA,
1984,North Carolina,NA,
1984,Oregon,2460,
1984,South Dakota,310527,
1984,Tennessee,NA,
1984,Texas,NA,
1984,Utah,200000,
1984,Vermont,NA,
1984,Virginia,NA,
1984,Washington,100000,
1984,Wyoming,100,
1985,Alabama,NA,
1985,Alaska,190000,
1985,Arizona,52053,
1985,California,187813,
1985,Colorado,43301,
1985,Georgia,NA,
1985,Idaho,44,
1985,Maryland,NA,
1985,Michigan,4945,
1985,Montana,160262,
1985,Nevada,1276114,
1985,New Mexico,NA,
1985,North Carolina,NA,
1985,Oregon,45045,
1985,South Dakota,356103,
1985,Tennessee,NA,
1985,Texas,NA,
1985,Utah,135489,
1985,Vermont,NA,
1985,Virginia,NA,
1985,Washington,140000,
1985,Wyoming,100,
1986,Alabama,NA,
1986,Alaska,160000,
1986,Arizona,55000,
1986,California,425617,
1986,Colorado,120347,
1986,Georgia,NA,
1986,Idaho,70,
1986,Maryland,NA,
1986,Michigan,46255,
1986,Montana,190000,
1986,Nevada,2100440,
1986,New Mexico,NA,
1986,North Carolina,NA,
1986,Oregon,39856,
1986,South Dakota,387000,
1986,Tennessee,NA,
1986,Texas,NA,
1986,Utah,111807,
1986,Vermont,NA,
1986,Virginia,NA,
1986,Washington,154000,
1986,Wyoming,100,
1987,Alabama,NA,
1987,Alaska,229707,
1987,Arizona,57583,
1987,California,602719,
1987,Colorado,178795,
1987,Georgia,NA,
1987,Idaho,97,
1987,Maryland,NA,
1987,Michigan,42924,
1987,Montana,229656,
1987,Nevada,2679581,
1987,New Mexico,NA,
1987,North Carolina,NA,
1987,Oregon,14443,
1987,South Dakota,418000,
1987,Tennessee,NA,
1987,Texas,NA,
1987,Utah,300000,
1987,Vermont,NA,
1987,Virginia,NA,
1987,Washington,210000,
1987,Wyoming,100,
1988,Alabama,NA,
1988,Alaska,265500,
1988,Arizona,146256,
1988,California,721538,
1988,Colorado,164807,
1988,Georgia,NA,
1988,Idaho,103,
1988,Maryland,NA,
1988,Michigan,43384,
1988,Montana,294988,
1988,Nevada,3675594,
1988,New Mexico,NA,
1988,North Carolina,NA,
1988,Oregon,46294,
1988,South Dakota,449514,
1988,Tennessee,NA,
1988,Texas,NA,
1988,Utah,399061,
1988,Vermont,NA,
1988,Virginia,NA,
1988,Washington,230000,
1988,Wyoming,100,
1989,Alabama,NA,
1989,Alaska,284617,
1989,Arizona,88995,
1989,California,958236,
1989,Colorado,110857,
1989,Georgia,NA,
1989,Idaho,98,
1989,Maryland,NA,
1989,Michigan,33287,
1989,Montana,399769,
1989,Nevada,4951130,
1989,New Mexico,NA,
1989,North Carolina,NA,
1989,Oregon,34594,
1989,South Dakota,518374,
1989,Tennessee,NA,
1989,Texas,NA,
1989,Utah,662476,
1989,Vermont,NA,
1989,Virginia,NA,
1989,Washington,222400,
1989,Wyoming,100,
1990,Alabama,NA,
1990,Alaska,231700,
1990,Arizona,160756,
1990,California,951902,
1990,Colorado,75170,
1990,Georgia,NA,
1990,Idaho,93,
1990,Maryland,NA,
1990,Michigan,418352,
1990,Montana,5676333,
1990,Nevada,25879,
1990,New Mexico,NA,
1990,North Carolina,NA,
1990,Oregon,NA,
1990,South Dakota,570648,
1990,Tennessee,NA,
1990,Texas,NA,
1990,Utah,737839,
1990,Vermont,NA,
1990,Virginia,NA,
1990,Washington,320000,
1990,Wyoming,300,
1991,Alabama,NA,
1991,Alaska,243900,
1991,Arizona,66489,
1991,California,960438,
1991,Colorado,102273,
1991,Georgia,NA,
1991,Idaho,107,
1991,Maryland,NA,
1991,Michigan,490951,
1991,Montana,5700801,
1991,Nevada,32923,
1991,New Mexico,NA,
1991,North Carolina,NA,
1991,Oregon,NA,
1991,South Dakota,525479,
1991,Tennessee,NA,
1991,Texas,NA,
1991,Utah,765360,
1991,Vermont,NA,
1991,Virginia,NA,
1991,Washington,330000,
1991,Wyoming,300,
1992,Alabama,NA,
1992,Alaska,262530,
1992,Arizona,213997,
1992,California,1071762,
1992,Colorado,120985,
1992,Georgia,NA,
1992,Idaho,129,
1992,Maryland,NA,
1992,Michigan,449921,
1992,Montana,6531958,
1992,Nevada,28778,
1992,New Mexico,NA,
1992,North Carolina,NA,
1992,Oregon,NA,
1992,South Dakota,600519,
1992,Tennessee,NA,
1992,Texas,NA,
1992,Utah,845000,
1992,Vermont,NA,
1992,Virginia,NA,
1992,Washington,275500,
1992,Wyoming,300,
1993,Alabama,NA,
1993,Alaska,191265,
1993,Arizona,87130,
1993,California,1149805,
1993,Colorado,149000,
1993,Georgia,NA,
1993,Idaho,113,
1993,Maryland,NA,
1993,Michigan,459763,
1993,Montana,6783911,
1993,Nevada,30689,
1993,New Mexico,NA,
1993,North Carolina,NA,
1993,Oregon,2021,
1993,South Dakota,604787,
1993,Tennessee,NA,
1993,Texas,NA,
1993,Utah,769745,
1993,Vermont,NA,
1993,Virginia,NA,
1993,Washington,228500,
1993,Wyoming,300,
1994,Alabama,NA,
1994,Alaska,182100,
1994,Arizona,63659,
1994,California,966997,
1994,Colorado,145000,
1994,Georgia,NA,
1994,Idaho,178,
1994,Maryland,NA,
1994,Michigan,405106,
1994,Montana,6880365,
1994,Nevada,27000,
1994,New Mexico,NA,
1994,North Carolina,NA,
1994,Oregon,NA,
1994,South Dakota,556398,
1994,Tennessee,NA,
1994,Texas,NA,
1994,Utah,762000,
1994,Vermont,NA,
1994,Virginia,NA,
1994,Washington,231200,
1994,Wyoming,300,
1995,Alabama,NA,
1995,Alaska,141882,
1995,Arizona,62373,
1995,California,949603,
1995,Colorado,165000,
1995,Georgia,NA,
1995,Idaho,300,
1995,Maryland,NA,
1995,Michigan,395460,
1995,Montana,6751760,
1995,Nevada,27000,
1995,New Mexico,NA,
1995,North Carolina,NA,
1995,Oregon,NA,
1995,South Dakota,559055,
1995,Tennessee,NA,
1995,Texas,NA,
1995,Utah,752000,
1995,Vermont,NA,
1995,Virginia,NA,
1995,Washington,106500,
1995,Wyoming,300,
1995,Wyoming,300,
