synthetic_id,year,yearbook_table_id,yearbook_table_trans,bgs_statistic_type_trans,country_trans,country_iso2_code,country_iso3_code,pole_of_inaccessibility_longitude,pole_of_inaccessibility_latitude,bgs_commodity_code,bgs_commodity_trans,bgs_sub_commodity_trans,erml_group,erml_commodity,erml_sub_commodity,cgi_commodity_url,quantity,quantity_in_book_style,data_precision_description,sdmx_code,sdmx_translation,units,concat_table_notes_code,concat_table_notes_text,concat_figure_notes_code,concat_figure_notes_text
1-30349-883-57-1994,1994-01-01 00:00:00,57,Mine production of gold,Production,USA,US,USA,-97.834383,39.139831,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,326553,326553,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Laos and Madagascar produce less than 100 kg gold per year according to official statistics|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-93-883-57-1994,1994-01-01 00:00:00,57,Mine production of gold,Production,Costa Rica,CR,CRI,-84.192011,9.974655,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,370,370,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Laos and Madagascar produce less than 100 kg gold per year according to official statistics|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-289-883-57-1994,1994-01-01 00:00:00,57,Mine production of gold,Production,Romania,RO,ROU,24.972941,45.853464,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,4000,4000,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Laos and Madagascar produce less than 100 kg gold per year according to official statistics|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",*,Estimates.
1-43-883-57-1994,1994-01-01 00:00:00,57,Mine production of gold,Production,Morocco,MA,MAR,-6.587161,31.846552,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,565,565,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Laos and Madagascar produce less than 100 kg gold per year according to official statistics|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-10-883-57-1994,1994-01-01 00:00:00,57,Mine production of gold,Production,Burkina Faso,BF,BFA,-0.901057,12.591396,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,537,537,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Laos and Madagascar produce less than 100 kg gold per year according to official statistics|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-122-883-57-1994,1994-01-01 00:00:00,57,Mine production of gold,Production,Peru,PE,PER,-73.033826,-13.197341,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,47800,47800,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Laos and Madagascar produce less than 100 kg gold per year according to official statistics|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-274-883-57-1994,1994-01-01 00:00:00,57,Mine production of gold,Production,Armenia,AM,ARM,44.931730,40.288596,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,500,500,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Laos and Madagascar produce less than 100 kg gold per year according to official statistics|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",*,Estimates.
1-30399-883-57-1994,1994-01-01 00:00:00,57,Mine production of gold,Production,Russia,RU,RUS,94.136588,63.462201,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,136818,136818,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Laos and Madagascar produce less than 100 kg gold per year according to official statistics|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-86-883-57-1994,1994-01-01 00:00:00,57,Mine production of gold,Production,Bolivia,BO,BOL,-64.684753,-16.706876,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,12790,12790,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Laos and Madagascar produce less than 100 kg gold per year according to official statistics|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-287-883-57-1994,1994-01-01 00:00:00,57,Mine production of gold,Production,Poland,PL,POL,19.394322,52.124771,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,628,628,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Laos and Madagascar produce less than 100 kg gold per year according to official statistics|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-118-883-57-1994,1994-01-01 00:00:00,57,Mine production of gold,Production,Nicaragua,NI,NIC,-85.034260,12.845120,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,1045,1045,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Laos and Madagascar produce less than 100 kg gold per year according to official statistics|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-169-883-57-1994,1994-01-01 00:00:00,57,Mine production of gold,Production,Oman,OM,OMN,57.386462,22.050248,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,122,122,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Laos and Madagascar produce less than 100 kg gold per year according to official statistics|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-11-883-57-1994,1994-01-01 00:00:00,57,Mine production of gold,Production,Burundi,BI,BDI,29.875082,-3.357425,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,1000,1000,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Laos and Madagascar produce less than 100 kg gold per year according to official statistics|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",*,Estimates.
1-219-883-57-1994,1994-01-01 00:00:00,57,Mine production of gold,Production,Papua New Guinea,PG,PNG,143.891050,-5.631615,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,58654,58654,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Laos and Madagascar produce less than 100 kg gold per year according to official statistics|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-51-883-57-1994,1994-01-01 00:00:00,57,Mine production of gold,Production,Rwanda,RW,RWA,29.741315,-1.942774,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,100,100,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Laos and Madagascar produce less than 100 kg gold per year according to official statistics|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",*,Estimates.
1-44-883-57-1994,1994-01-01 00:00:00,57,Mine production of gold,Production,Mozambique,MZ,MOZ,38.189455,-13.567587,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,336,336,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Laos and Madagascar produce less than 100 kg gold per year according to official statistics|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-46-883-57-1994,1994-01-01 00:00:00,57,Mine production of gold,Production,Namibia,NA,NAM,16.971257,-20.703654,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,2394,2394,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Laos and Madagascar produce less than 100 kg gold per year according to official statistics|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-265-883-57-1994,1994-01-01 00:00:00,57,Mine production of gold,Production,Bulgaria,BG,BGR,23.840188,42.733269,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,299,299,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Laos and Madagascar produce less than 100 kg gold per year according to official statistics|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-47-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Niger,NE,NER,10.866246,17.975986,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,100,100,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",*,Estimates.
1-43-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Morocco,MA,MAR,-6.587161,31.846552,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,580,580,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-44-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Mozambique,MZ,MOZ,38.189455,-13.567587,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,236,236,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-10-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Burkina Faso,BF,BFA,-0.901057,12.591396,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,1361,1361,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",#,Break in series.
1-274-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Armenia,AM,ARM,44.931730,40.288596,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,300,300,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-289-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Romania,RO,ROU,24.972941,45.853464,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,4000,4000,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",*,Estimates.
1-265-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Bulgaria,BG,BGR,23.840188,42.733269,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,1307,1307,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-86-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Bolivia,BO,BOL,-64.684753,-16.706876,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,14405,14405,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-11-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Burundi,BI,BDI,29.875082,-3.357425,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,3819,3819,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-287-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Poland,PL,POL,19.394322,52.124771,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,510,510,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",d,Metal production.
1-122-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Peru,PE,PER,-73.033826,-13.197341,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,57743,57743,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-219-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Papua New Guinea,PG,PNG,143.891050,-5.631615,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,51701,51701,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-30399-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Russia,RU,RUS,94.136588,63.462201,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,127838,127838,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-46-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Namibia,NA,NAM,16.971257,-20.703654,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,2099,2099,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-118-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Nicaragua,NI,NIC,-85.034260,12.845120,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,1518,1518,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-169-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Oman,OM,OMN,57.386462,22.050248,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,611,611,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-73-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Zimbabwe,ZW,ZWE,29.851884,-19.002536,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,23959,23959,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-107-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Guyana,GY,GUY,-58.939265,4.871915,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,9005,9005,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-133-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Venezuela,VE,VEN,-64.007094,7.145968,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,7259,7259,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-30459-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Kyrgyzstan,KG,KGZ,74.825934,41.734527,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,1490,1490,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-120-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Panama,PA,PAN,-80.023774,9.023398,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,283,283,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-12-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Cameroon,CM,CMR,12.837806,4.061634,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,560,560,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-176-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Saudi Arabia,SA,SAU,44.908958,23.753953,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,8080,8080,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-30388-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Serbia and Montenegro,CS,SCG,20.466667,44.816667,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,2856,2856,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",d,Metal production.
1-30457-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Myanmar,MM,MMR,96.111983,21.798486,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,97,97,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",a|d,Years ended 31 March following that stated.|Metal production.
1-270-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Finland,FI,FIN,27.679723,63.018751,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,1050,1050,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-63-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Tanzania,TZ,TZA,34.022162,-5.686961,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,320,320,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-261-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Kazakhstan,KZ,KAZ,69.217179,48.473662,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,10921,10921,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",d,Metal production.
1-67-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Uganda,UG,UGA,32.959717,1.936052,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,3094,3094,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",e,Exports.
1-166-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Mongolia,MN,MNG,105.527762,46.198899,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,4504,4504,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
1-302-883-57-1995,1995-01-01 00:00:00,57,Mine production of gold,Production,Uzbekistan,UZ,UZB,63.826062,41.895281,883,"gold, mine",,Gold,"Gold (mine production, metal production)",Ores and concentrates (metal content),http://resource.geosciml.org/classifier/cgi/commodity-code/gold,63600,63600,,A,Normal value,kilograms,1|2|3,"Greece, Norway and Thailand are believed to produce gold|In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",,
